"CIP_Code","CIP","CIP_T"
01.0905,010905,Dairy Science.
01.0906,010906,Livestock Management.
01.0907,010907,Poultry Science.
01.0999,010999,"Animal Sciences, Other."
01.1001,011001,Food Science.
01.1002,011002,Food Technology and Processing.
01.1099,011099,"Food Science and Technology, Other."
01.1101,011101,"Plant Sciences, General."
01.1102,011102,Agronomy and Crop Science.
01.1103,011103,Horticultural Science.
01.1104,011104,Agricultural and Horticultural Plant Breeding.
01.1105,011105,Plant Protection and Integrated Pest Management.
01.1106,011106,Range Science and Management.
01.1199,011199,"Plant Sciences, Other."
01.1201,011201,"Soil Science and Agronomy, General."
01.1202,011202,Soil Chemistry and Physics.
01.1203,011203,Soil Microbiology.
01.1299,011299,"Soil Sciences, Other."
01.9999,019999,"Agriculture, Agriculture Operations, and Related Sciences, Other."
03.0101,030101,"Natural Resources/Conservation, General."
03.0103,030103,Environmental Studies.
03.0104,030104,Environmental Science.
03.0199,030199,"Natural Resources Conservation and Research, Other."
03.0201,030201,Natural Resources Management and Policy.
03.0204,030204,Natural Resource Economics.
03.0205,030205,"Water, Wetlands, and Marine Resources Management."
03.0206,030206,Land Use Planning and Management/Development.
03.0207,030207,Natural Resource Recreation and Tourism.
03.0208,030208,Natural Resources Law Enforcement and Protective Services.
03.0299,030299,"Natural Resources Management and Policy, Other."
03.0301,030301,Fishing and Fisheries Sciences and Management.
03.0501,030501,"Forestry, General."
03.0502,030502,Forest Sciences and Biology.
03.0506,030506,Forest Management/Forest Resources Management.
03.0508,030508,Urban Forestry.
03.0509,030509,Wood Science and Wood Products/Pulp and Paper Technology.
03.0510,030510,Forest Resources Production and Management.
03.0511,030511,Forest Technology/Technician.
03.0599,030599,"Forestry, Other."
03.0601,030601,"Wildlife, Fish and Wildlands Science and Management."
03.9999,039999,"Natural Resources and Conservation, Other."
04.0201,040201,Architecture.
04.0301,040301,"City/Urban, Community and Regional Planning."
04.0401,040401,Environmental Design/Architecture.
04.0501,040501,Interior Architecture.
04.0601,040601,Landscape Architecture.
04.0801,040801,"Architectural History and Criticism, General."
04.0901,040901,Architectural Technology/Technician.
04.0902,040902,Architectural and Building Sciences/Technology.
04.0999,040999,"Architectural Sciences and Technology, Other."
04.1001,041001,Real Estate Development.
04.9999,049999,"Architecture and Related Services, Other."
05.0101,050101,African Studies.
05.0102,050102,American/United States Studies/Civilization.
05.0103,050103,Asian Studies/Civilization.
05.0104,050104,East Asian Studies.
05.0105,050105,"Russian, Central European, East European and Eurasian Studies."
05.0106,050106,European Studies/Civilization.
05.0107,050107,Latin American Studies.
05.0108,050108,Near and Middle Eastern Studies.
05.0109,050109,Pacific Area/Pacific Rim Studies.
05.0110,050110,Russian Studies.
05.0111,050111,Scandinavian Studies.
05.0112,050112,South Asian Studies.
05.0113,050113,Southeast Asian Studies.
05.0114,050114,Western European Studies.
05.0115,050115,Canadian Studies.
05.0116,050116,Balkans Studies.
05.0117,050117,Baltic Studies.
05.0118,050118,Slavic Studies.
05.0119,050119,Caribbean Studies.
05.0120,050120,Ural-Altaic and Central Asian Studies.
05.0121,050121,Commonwealth Studies.
05.0122,050122,"Regional Studies (U.S., Canadian, Foreign)"
05.0123,050123,Chinese Studies.
05.0124,050124,French Studies.
05.0125,050125,German Studies.
05.0126,050126,Italian Studies.
05.0127,050127,Japanese Studies.
05.0128,050128,Korean Studies.
05.0129,050129,Polish Studies.
05.0130,050130,Spanish and Iberian Studies.
05.0131,050131,Tibetan Studies.
05.0132,050132,Ukraine Studies.
05.0133,050133,Irish Studies.
05.0134,050134,Latin American and Caribbean Studies.
05.0199,050199,"Area Studies, Other."
05.0200,050200,Ethnic Studies.
05.0201,050201,African-American/Black Studies.
05.0202,050202,American Indian/Native American Studies.
05.0203,050203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
05.0206,050206,Asian-American Studies.
05.0207,050207,Women's Studies.
05.0208,050208,Gay/Lesbian Studies.
05.0209,050209,Folklore Studies.
05.0210,050210,Disability Studies.
05.0211,050211,Deaf Studies.
05.0299,050299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
05.9999,059999,"Area, Ethnic, Cultural, and Gender Studies, Other."
09.0100,090100,"Communication, General."
09.0101,090101,Speech Communication and Rhetoric.
09.0102,090102,Mass Communication/Media Studies.
09.0199,090199,"Communication and Media Studies, Other."
09.0401,090401,Journalism.
09.0402,090402,Broadcast Journalism.
09.0404,090404,Photojournalism.
09.0499,090499,"Journalism, Other."
09.0701,090701,Radio and Television.
09.0702,090702,Digital Communication and Media/Multimedia.
09.0799,090799,"Radio, Television, and Digital Communication, Other."
09.0900,090900,"Public Relations, Advertising, and Applied Communication."
09.0901,090901,"Organizational Communication, General."
09.0902,090902,Public Relations/Image Management.
09.0903,090903,Advertising.
09.0904,090904,Political Communication.
09.0905,090905,Health Communication.
09.0906,090906,Sports Communication.
09.0907,090907,International and Intercultural Communication.
09.0908,090908,Technical and Scientific Communication.
09.0999,090999,"Public Relations, Advertising, and Applied Communication, Other"
09.1001,091001,Publishing.
09.9999,099999,"Communication, Journalism, and Related Programs, Other."
10.0105,100105,Communications Technology/Technician.
10.0201,100201,Photographic and Film/Video Technology/Technician and Assistant.
10.0202,100202,Radio and Television Broadcasting Technology/Technician.
10.0203,100203,Recording Arts Technology/Technician.
10.0299,100299,"Audiovisual Communications Technologies/Technicians, Other."
10.0301,100301,"Graphic Communications, General."
10.0302,100302,Printing Management.
10.0303,100303,Prepress/Desktop Publishing and Digital Imaging Design.
10.0304,100304,"Animation, Interactive Technology, Video Graphics and Special Effects."
10.0305,100305,"Graphic and Printing Equipment Operator, General Production."
10.0306,100306,Platemaker/Imager.
10.0307,100307,Printing Press Operator.
10.0308,100308,Computer Typography and Composition Equipment Operator.
10.0399,100399,"Graphic Communications, Other."
10.9999,109999,"Communications Technologies/Technicians and Support Services, Other."
11.0101,110101,"Computer and Information Sciences, General."
11.0102,110102,Artificial Intelligence.
11.0103,110103,Information Technology.
11.0104,110104,Informatics.
11.0199,110199,"Computer and Information Sciences,  Other."
11.0201,110201,"Computer Programming/Programmer, General."
11.0202,110202,"Computer Programming, Specific Applications."
11.0203,110203,"Computer Programming, Vendor/Product Certification."
11.0299,110299,"Computer Programming, Other."
11.0301,110301,Data Processing and Data Processing Technology/Technician.
11.0401,110401,Information Science/Studies.
11.0501,110501,Computer Systems Analysis/Analyst.
11.0601,110601,"Data Entry/Microcomputer Applications, General."
11.0602,110602,Word Processing.
11.0699,110699,"Data Entry/Microcomputer Applications, Other."
11.0701,110701,Computer Science.
11.0801,110801,"Web Page, Digital/Multimedia and Information Resources Design."
11.0802,110802,Data Modeling/Warehousing and Database Administration.
11.0803,110803,Computer Graphics.
11.0804,110804,"Modeling, Virtual Environments and Simulation."
11.0899,110899,"Computer Software and Media Applications, Other."
11.0901,110901,Computer Systems Networking and Telecommunications.
11.1001,111001,Network and System Administration/Administrator.
11.1002,111002,"System, Networking, and LAN/WAN Management/Manager."
11.1003,111003,Computer and Information Systems Security/Information Assurance.
11.1004,111004,Web/Multimedia Management and Webmaster.
11.1005,111005,Information Technology Project Management.
11.1006,111006,Computer Support Specialist.
11.1099,111099,"Computer/Information Technology Services Administration and Management, Other."
11.9999,119999,"Computer and Information Sciences and Support Services, Other."
12.0301,120301,"Funeral Service and Mortuary Science, General."
12.0302,120302,Funeral Direction/Service.
12.0303,120303,Mortuary Science and Embalming/Embalmer.
12.0399,120399,"Funeral Service and Mortuary Science, Other."
12.0401,120401,"Cosmetology/Cosmetologist, General."
12.0402,120402,Barbering/Barber.
12.0404,120404,Electrolysis/Electrology and Electrolysis Technician.
12.0406,120406,Make-Up Artist/Specialist.
12.0407,120407,Hair Styling/Stylist and Hair Design.
12.0408,120408,Facial Treatment Specialist/Facialist.
12.0409,120409,Aesthetician/Esthetician and Skin Care Specialist.
12.0410,120410,Nail Technician/Specialist and Manicurist.
12.0411,120411,Permanent Cosmetics/Makeup and Tattooing.
12.0412,120412,Salon/Beauty Salon Management/Manager.
12.0413,120413,"Cosmetology, Barber/Styling, and Nail Instructor."
12.0414,120414,Master Aesthetician/Esthetician.
12.0499,120499,"Cosmetology and Related Personal Grooming Arts, Other."
12.0500,120500,"Cooking and Related Culinary Arts, General."
12.0501,120501,Baking and Pastry Arts/Baker/Pastry Chef.
12.0502,120502,Bartending/Bartender.
12.0503,120503,Culinary Arts/Chef Training.
12.0504,120504,"Restaurant, Culinary, and Catering Management/Manager."
12.0505,120505,Food Preparation/Professional Cooking/Kitchen Assistant.
12.0506,120506,Meat Cutting/Meat Cutter.
12.0507,120507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager."
12.0508,120508,Institutional Food Workers.
12.0509,120509,Culinary Science/Culinology.
12.0510,120510,Wine Steward/Sommelier.
12.0599,120599,"Culinary Arts and Related Services, Other."
12.9999,129999,"Personal and Culinary Services, Other."
13.0101,130101,"Education, General."
13.0201,130201,Bilingual and Multilingual Education.
13.0202,130202,Multicultural Education.
13.0203,130203,Indian/Native American Education.
13.0299,130299,"Bilingual, Multilingual, and Multicultural Education, Other."
13.0301,130301,Curriculum and Instruction.
13.0401,130401,"Educational Leadership and Administration, General."
13.0402,130402,Administration of Special Education.
13.0403,130403,Adult and Continuing Education Administration.
13.0404,130404,"Educational, Instructional, and Curriculum Supervision."
13.0406,130406,Higher Education/Higher Education Administration.
13.0407,130407,Community College Education.
13.0408,130408,Elementary and Middle School Administration/Principalship.
13.0409,130409,Secondary School Administration/Principalship.
13.0410,130410,Urban Education and Leadership.
13.0411,130411,Superintendency and Educational System Administration.
13.0499,130499,"Educational Administration and Supervision, Other."
13.0501,130501,Educational/Instructional Technology.
13.0601,130601,Educational Evaluation and Research.
13.0603,130603,Educational Statistics and Research Methods.
13.0604,130604,"Educational Assessment, Testing, and Measurement."
13.0607,130607,Learning Sciences.
13.0699,130699,"Educational Assessment, Evaluation, and Research, Other."
13.0701,130701,International and Comparative Education.
13.0901,130901,Social and Philosophical Foundations of Education.
13.1001,131001,"Special Education and Teaching, General."
13.1003,131003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
13.1004,131004,Education/Teaching of the Gifted and Talented.
13.1005,131005,Education/Teaching of Individuals with Emotional Disturbances.
13.1006,131006,Education/Teaching of Individuals with Mental Retardation.
13.1007,131007,Education/Teaching of Individuals with Multiple Disabilities.
13.1008,131008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
13.1009,131009,Education/Teaching of Individuals with Vision Impairments Including Blindness.
13.1011,131011,Education/Teaching of Individuals with Specific Learning Disabilities.
13.1012,131012,Education/Teaching of Individuals with Speech or Language Impairments.
13.1013,131013,Education/Teaching of Individuals with Autism.
13.1014,131014,Education/Teaching of Individuals Who are Developmentally Delayed.
13.1015,131015,Education/Teaching of Individuals in Early Childhood Special Education Programs.
13.1016,131016,Education/Teaching of Individuals with Traumatic Brain Injuries.
13.1017,131017,Education/Teaching of Individuals in Elementary Special Education Programs.
13.1018,131018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
13.1019,131019,Education/Teaching of Individuals in Secondary Special Education Programs.
13.1099,131099,"Special Education and Teaching, Other."
13.1101,131101,Counselor Education/School Counseling and Guidance Services.
13.1102,131102,College Student Counseling and Personnel Services.
13.1199,131199,"Student Counseling and Personnel Services, Other."
13.1201,131201,Adult and Continuing Education and Teaching.
13.1202,131202,Elementary Education and Teaching.
13.1203,131203,Junior High/Intermediate/Middle School Education and Teaching.
13.1205,131205,Secondary Education and Teaching.
13.1206,131206,"Teacher Education, Multiple Levels."
13.1207,131207,Montessori Teacher Education.
13.1208,131208,Waldorf/Steiner Teacher Education.
13.1209,131209,Kindergarten/Preschool Education and Teaching.
13.1210,131210,Early Childhood Education and Teaching.
13.1299,131299,"Teacher Education and Professional Development, Specific Levels and Methods, Other."
13.1301,131301,Agricultural Teacher Education.
13.1302,131302,Art Teacher Education.
13.1303,131303,Business Teacher Education.
13.1304,131304,Driver and Safety Teacher Education.
13.1305,131305,English/Language Arts Teacher Education.
13.1306,131306,Foreign Language Teacher  Education.
13.1307,131307,Health Teacher Education.
13.1308,131308,Family and Consumer Sciences/Home Economics Teacher Education.
13.1309,131309,Technology Teacher Education/Industrial Arts Teacher Education.
13.1310,131310,Sales and Marketing Operations/Marketing and Distribution   Teacher Education.
13.1311,131311,Mathematics Teacher Education.
13.1312,131312,Music Teacher Education.
13.1314,131314,Physical Education Teaching and Coaching.
13.1315,131315,Reading Teacher Education.
13.1316,131316,Science Teacher Education/General Science Teacher Education.
13.1317,131317,Social Science Teacher Education.
13.1318,131318,Social Studies Teacher Education.
13.1319,131319,Technical Teacher Education.
13.1320,131320,Trade and Industrial Teacher Education.
13.1321,131321,Computer Teacher Education.
13.1322,131322,Biology Teacher Education.
13.1323,131323,Chemistry Teacher Education.
13.1324,131324,Drama and Dance Teacher Education.
13.1325,131325,French Language Teacher Education.
13.1326,131326,German Language Teacher Education.
13.1327,131327,Health Occupations Teacher Education.
13.1328,131328,History Teacher Education.
13.1329,131329,Physics Teacher Education.
13.1330,131330,Spanish Language Teacher Education.
13.1331,131331,Speech Teacher Education.
13.1332,131332,Geography Teacher Education.
13.1333,131333,Latin Teacher Education.
13.1334,131334,School Librarian/School Library Media Specialist.
13.1335,131335,Psychology Teacher Education.
13.1337,131337,Earth Science Teacher Education.
13.1338,131338,Environmental Education.
13.1399,131399,"Teacher Education and Professional Development, Specific Subject Areas, Other."
13.1401,131401,Teaching English as a Second or Foreign Language/ESL Language Instructor.
13.1402,131402,Teaching French as a Second or Foreign Language.
13.1499,131499,"Teaching English or French as a Second or Foreign Language, Other."
13.1501,131501,Teacher Assistant/Aide.
13.1502,131502,Adult Literacy Tutor/Instructor.
13.1599,131599,"Teaching Assistants/Aides, Other."
13.9999,139999,"Education, Other."
14.0101,140101,"Engineering, General."
14.0102,140102,Pre-Engineering.
14.0201,140201,"Aerospace, Aeronautical and Astronautical/Space Engineering."
14.0301,140301,Agricultural Engineering.
14.0401,140401,Architectural Engineering.
14.0501,140501,Bioengineering and Biomedical Engineering.
14.0601,140601,Ceramic Sciences and Engineering.
14.0701,140701,Chemical Engineering.
14.0702,140702,Chemical and Biomolecular Engineering.
14.0799,140799,"Chemical Engineering, Other."
14.0801,140801,"Civil Engineering, General."
14.0802,140802,Geotechnical and Geoenvironmental Engineering.
14.0803,140803,Structural Engineering.
14.0804,140804,Transportation and Highway Engineering.
14.0805,140805,Water Resources Engineering.
14.0899,140899,"Civil Engineering, Other."
14.0901,140901,"Computer Engineering, General."
14.0902,140902,Computer Hardware Engineering.
14.0903,140903,Computer Software Engineering.
14.0999,140999,"Computer Engineering, Other."
14.1001,141001,Electrical and Electronics Engineering
14.1003,141003,Laser and Optical Engineering.
14.1004,141004,Telecommunications Engineering.
14.1099,141099,"Electrical, Electronics and Communications Engineering, Other."
14.1101,141101,Engineering Mechanics.
14.1201,141201,Engineering Physics/Applied Physics.
14.1301,141301,Engineering Science.
14.1401,141401,Environmental/Environmental Health Engineering.
14.1801,141801,Materials Engineering.
14.1901,141901,Mechanical Engineering.
14.2001,142001,Metallurgical Engineering.
14.2101,142101,Mining and Mineral Engineering.
14.2201,142201,Naval Architecture and Marine Engineering.
14.2301,142301,Nuclear Engineering.
14.2401,142401,Ocean Engineering.
14.2501,142501,Petroleum Engineering.
14.2701,142701,Systems Engineering.
14.2801,142801,Textile Sciences and Engineering.
14.3101,143101,Materials Science.
14.3201,143201,Polymer/Plastics Engineering.
14.3301,143301,Construction Engineering.
14.3401,143401,Forest Engineering.
14.3501,143501,Industrial Engineering.
14.3601,143601,Manufacturing Engineering.
14.3701,143701,Operations Research.
14.3801,143801,Surveying Engineering.
14.3901,143901,Geological/Geophysical Engineering.
14.4001,144001,Paper Science and Engineering.
14.4101,144101,Electromechanical Engineering.
14.4201,144201,"Mechatronics, Robotics, and Automation Engineering."
14.4301,144301,Biochemical Engineering.
14.4401,144401,Engineering Chemistry.
14.4501,144501,Biological/Biosystems Engineering.
14.9999,149999,"Engineering, Other."
15.0000,150000,"Engineering Technology, General."
15.0101,150101,Architectural Engineering Technology/Technician.
15.0201,150201,Civil Engineering Technology/Technician.
15.0303,150303,"Electrical, Electronic and Communications Engineering Technology/Technician."
15.0304,150304,Laser and Optical Technology/Technician.
15.0305,150305,Telecommunications Technology/Technician.
15.0306,150306,Integrated Circuit Design.
15.0399,150399,"Electrical and Electronic Engineering Technologies/Technicians, Other."
15.0401,150401,Biomedical Technology/Technician.
15.0403,150403,Electromechanical Technology/Electromechanical Engineering Technology.
15.0404,150404,Instrumentation Technology/Technician.
15.0405,150405,Robotics Technology/Technician.
15.0406,150406,Automation Engineer Technology/Technician.
15.0499,150499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other."
15.0501,150501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician."
15.0503,150503,Energy Management and Systems Technology/Technician.
15.0505,150505,Solar Energy Technology/Technician.
15.0506,150506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.
15.0507,150507,Environmental Engineering Technology/Environmental Technology.
15.0508,150508,Hazardous Materials Management and Waste Technology/Technician.
15.0599,150599,"Environmental Control Technologies/Technicians, Other."
15.0607,150607,Plastics and Polymer Engineering Technology/Technician.
15.0611,150611,Metallurgical Technology/Technician.
15.0612,150612,Industrial Technology/Technician.
15.0613,150613,Manufacturing Engineering Technology/Technician.
15.0614,150614,Welding Engineering Technology/Technician.
15.0615,150615,Chemical Engineering Technology/Technician.
15.0616,150616,Semiconductor Manufacturing Technology.
15.0699,150699,"Industrial Production Technologies/Technicians, Other."
15.0701,150701,Occupational Safety and Health Technology/Technician.
15.0702,150702,Quality Control Technology/Technician.
15.0703,150703,Industrial Safety Technology/Technician.
15.0704,150704,Hazardous Materials Information Systems Technology/Technician.
15.0799,150799,"Quality Control and Safety Technologies/Technicians, Other."
15.0801,150801,Aeronautical/Aerospace Engineering Technology/Technician.
15.0803,150803,Automotive Engineering Technology/Technician.
15.0805,150805,Mechanical Engineering/Mechanical Technology/Technician.
15.0899,150899,"Mechanical Engineering Related Technologies/Technicians, Other."
15.0901,150901,Mining Technology/Technician.
15.0903,150903,Petroleum Technology/Technician.
15.0999,150999,"Mining and Petroleum Technologies/Technicians, Other."
15.1001,151001,Construction Engineering Technology/Technician.
15.1102,151102,Surveying Technology/Surveying.
15.1103,151103,Hydraulics and Fluid Power Technology/Technician.
15.1199,151199,"Engineering-Related Technologies, Other."
15.1201,151201,Computer Engineering Technology/Technician.
15.1202,151202,Computer Technology/Computer Systems Technology.
15.1203,151203,Computer Hardware Technology/Technician.
15.1204,151204,Computer Software Technology/Technician.
15.1299,151299,"Computer Engineering Technologies/Technicians, Other."
15.1301,151301,"Drafting and Design Technology/Technician, General."
15.1302,151302,CAD/CADD Drafting and/or Design Technology/Technician.
15.1303,151303,Architectural Drafting and Architectural CAD/CADD.
15.1304,151304,Civil Drafting and Civil Engineering CAD/CADD.
15.1305,151305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.
15.1306,151306,Mechanical Drafting and Mechanical Drafting CAD/CADD.
15.1399,151399,"Drafting/Design Engineering Technologies/Technicians, Other."
15.1401,151401,Nuclear Engineering Technology/Technician.
15.1501,151501,Engineering/Industrial Management.
15.1502,151502,Engineering Design.
15.1503,151503,Packaging Science.
15.1599,151599,"Engineering-Related Fields, Other."
15.1601,151601,Nanotechnology.
15.9999,159999,"Engineering Technologies and Engineering-Related Fields, Other."
16.0101,160101,"Foreign Languages and Literatures, General."
16.0102,160102,Linguistics.
16.0103,160103,Language Interpretation and Translation.
16.0104,160104,Comparative Literature.
16.0105,160105,Applied Linguistics.
16.0199,160199,"Linguistic, Comparative, and Related Language Studies and Services, Other."
16.0201,160201,"African Languages, Literatures, and Linguistics."
16.0300,160300,"East Asian Languages, Literatures, and Linguistics, General."
16.0301,160301,Chinese Language and Literature.
16.0302,160302,Japanese Language and Literature.
16.0303,160303,Korean Language and Literature.
16.0304,160304,Tibetan Language and Literature.
16.0399,160399,"East Asian Languages, Literatures, and Linguistics, Other."
16.0400,160400,"Slavic Languages, Literatures, and Linguistics, General."
16.0401,160401,"Baltic Languages, Literatures, and Linguistics."
16.0402,160402,Russian Language and Literature.
16.0404,160404,Albanian Language and Literature.
16.0405,160405,Bulgarian Language and Literature.
16.0406,160406,Czech Language and Literature.
16.0407,160407,Polish Language and Literature.
16.0408,160408,"Bosnian, Serbian, and Croatian Languages and Literatures."
16.0409,160409,Slovak Language and Literature.
16.0410,160410,Ukrainian Language and Literature.
16.0499,160499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other."
16.0500,160500,"Germanic Languages, Literatures, and Linguistics, General."
16.0501,160501,German Language and Literature.
16.0502,160502,"Scandinavian Languages, Literatures, and Linguistics."
16.0503,160503,Danish Language and Literature.
16.0504,160504,Dutch/Flemish Language and Literature.
16.0505,160505,Norwegian Language and Literature.
16.0506,160506,Swedish Language and Literature.
16.0599,160599,"Germanic Languages, Literatures, and Linguistics, Other."
16.0601,160601,Modern Greek Language and Literature.
16.0700,160700,"South Asian Languages, Literatures, and Linguistics, General."
16.0701,160701,Hindi Language and Literature.
16.0702,160702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics."
16.0704,160704,Bengali Language and Literature.
16.0705,160705,Punjabi Language and Literature.
16.0706,160706,Tamil Language and Literature.
16.0707,160707,Urdu Language and Literature.
16.0799,160799,"South Asian Languages, Literatures, and Linguistics, Other."
16.0801,160801,"Iranian Languages, Literatures, and Linguistics."
16.0900,160900,"Romance Languages, Literatures, and Linguistics, General."
16.0901,160901,French Language and Literature.
16.0902,160902,Italian Language and Literature.
16.0904,160904,Portuguese Language and Literature.
16.0905,160905,Spanish Language and Literature.
16.0906,160906,Romanian Language and Literature.
16.0907,160907,Catalan Language and Literature.
16.0908,160908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General."
16.0999,160999,"Romance Languages, Literatures, and Linguistics, Other."
16.1001,161001,"American Indian/Native American Languages, Literatures, and Linguistics."
16.1100,161100,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General."
16.1101,161101,Arabic Language and Literature.
16.1102,161102,Hebrew Language and Literature.
16.1103,161103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics."
16.1199,161199,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other."
16.1200,161200,"Classics and Classical Languages, Literatures, and Linguistics, General."
16.1202,161202,Ancient/Classical Greek Language and Literature.
16.1203,161203,Latin Language and Literature.
16.1299,161299,"Classics and Classical Languages, Literatures, and Linguistics, Other."
16.1301,161301,"Celtic Languages, Literatures, and Linguistics."
16.1400,161400,"Southeast Asian Languages, Literatures, and Linguistics, General."
16.1401,161401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics."
16.1402,161402,Indonesian/Malay Languages and Literatures.
16.1403,161403,Burmese Language and Literature.
16.1404,161404,Filipino/Tagalog Language and Literature.
16.1405,161405,Khmer/Cambodian Language and Literature.
16.1406,161406,Lao Language and Literature.
16.1407,161407,Thai Language and Literature.
16.1408,161408,Vietnamese Language and Literature.
16.1499,161499,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other."
16.1501,161501,Turkish Language and Literature.
16.1502,161502,"Uralic Languages, Literatures, and Linguistics."
16.1503,161503,Hungarian/Magyar Language and Literature.
16.1504,161504,Mongolian Language and Literature.
16.1599,161599,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other."
16.1601,161601,American Sign Language (ASL).
16.1602,161602,Linguistics of ASL and Other Sign Languages.
16.1603,161603,Sign Language Interpretation and Translation.
16.1699,161699,"American Sign Language, Other."
16.9999,169999,"Foreign Languages, Literatures, and Linguistics, Other."
19.0000,190000,Work and Family Studies.
19.0101,190101,"Family and Consumer Sciences/Human Sciences, General."
19.0201,190201,Business Family and Consumer Sciences/Human Sciences.
19.0202,190202,Family and Consumer Sciences/Human Sciences Communication.
19.0203,190203,Consumer Merchandising/Retailing Management.
19.0299,190299,"Family and Consumer Sciences/Human Sciences Business Services, Other."
19.0401,190401,"Family Resource Management Studies, General."
19.0402,190402,Consumer Economics.
19.0403,190403,Consumer Services and Advocacy.
19.0499,190499,"Family and Consumer Economics and Related Services, Other."
19.0501,190501,"Foods, Nutrition, and Wellness Studies, General."
19.0504,190504,Human Nutrition.
19.0505,190505,Foodservice Systems Administration/Management.
19.0599,190599,"Foods, Nutrition, and Related Services, Other."
19.0601,190601,"Housing and Human Environments, General."
19.0604,190604,Facilities Planning and Management.
19.0605,190605,Home Furnishings and Equipment Installers.
19.0699,190699,"Housing and Human Environments, Other."
19.0701,190701,"Human Development and Family Studies, General."
19.0702,190702,Adult Development and Aging.
19.0704,190704,Family Systems.
19.0706,190706,Child Development.
19.0707,190707,Family and Community Services.
19.0708,190708,Child Care and Support Services Management.
19.0709,190709,Child Care Provider/Assistant.
19.0710,190710,Developmental Services Worker.
19.0799,190799,"Human Development, Family Studies, and Related Services, Other."
19.0901,190901,"Apparel and Textiles, General."
19.0902,190902,Apparel and Textile Manufacture.
19.0904,190904,Textile Science.
19.0905,190905,Apparel and Textile Marketing Management.
19.0906,190906,Fashion and Fabric Consultant.
19.0999,190999,"Apparel and Textiles, Other."
19.9999,199999,"Family and Consumer Sciences/Human Sciences, Other."
21.0101,210101,Technology Education/Industrial Arts.
22.0000,220000,"Legal Studies, General."
22.0001,220001,Pre-Law Studies.
22.0101,220101,Law.
22.0201,220201,"Advanced Legal Research/Studies, General."
22.0202,220202,Programs for Foreign Lawyers.
22.0203,220203,American/U.S. Law/Legal Studies/Jurisprudence.
22.0204,220204,Canadian Law/Legal Studies/Jurisprudence.
